Kind,Name,File,CountOutput,CountPath,CountInput
Function,ap_hook_get_insert_error_filter,http_protocol.c,1,1,3
Function,ap_hook_get_insert_filter,request.c,1,1,3
Function,ap_hook_get_insert_network_bucket,core.c,1,1,2
Function,ap_hook_get_log_transaction,protocol.c,1,1,3
Function,ap_hook_get_map_to_storage,request.c,1,1,3
Function,ap_hook_get_mgmt_items,core.c,11,4,9
Function,ap_hook_get_monitor,mpm_common.c,1,1,3
Function,ap_hook_get_mpm,mpm_common.c,1,1,3
Function,ap_hook_get_mpm_get_name,mpm_common.c,1,1,3
Function,ap_hook_get_mpm_query,mpm_common.c,1,1,3
Function,ap_hook_get_mpm_register_timed_callback,mpm_common.c,1,1,3
Function,ap_hook_get_note_auth_failure,protocol.c,1,1,3
Function,ap_hook_get_open_htaccess,config.c,1,1,2
Function,ap_hook_get_open_logs,config.c,1,1,3
Function,ap_hook_get_optional_fn_retrieve,config.c,1,1,3
Function,ap_hook_get_post_config,config.c,1,1,3
Function,ap_hook_get_post_perdir_config,request.c,1,1,2
Function,ap_hook_get_post_read_request,protocol.c,1,1,3
Function,ap_hook_get_pre_close_connection,connection.c,1,1,2
Function,ap_hook_get_pre_config,config.c,1,1,3
Function,ap_hook_get_pre_connection,connection.c,1,1,3
Function,ap_hook_get_pre_mpm,scoreboard.c,1,1,3
